;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 10/12/2023 9:55:01 PM
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0x2C0F      	GOTO       1039
_interrupt:
0x0004	0x00FF      	MOVWF      R15
0x0005	0x0E03      	SWAPF      STATUS, 0
0x0006	0x0183      	CLRF       STATUS
0x0007	0x1683      	BSF        STATUS, 5
0x0008	0x00D0      	MOVWF      ___saveSTATUS
0x0009	0x080A      	MOVF       PCLATH, 0
0x000A	0x00D1      	MOVWF      ___savePCLATH
0x000B	0x018A      	CLRF       PCLATH
0x000C	0x0870      	MOVF       R0, 0
0x000D	0x1283      	BCF        STATUS, 5
0x000E	0x00A4      	MOVWF      36
0x000F	0x087B      	MOVF       R11, 0
0x0010	0x00A3      	MOVWF      35
0x0011	0x087C      	MOVF       R12, 0
0x0012	0x00A2      	MOVWF      34
0x0013	0x087D      	MOVF       R13, 0
0x0014	0x00A1      	MOVWF      33
;MyFinalProject.c,44 :: 		void interrupt(){
;MyFinalProject.c,45 :: 		if(PORTB.RB0==1)
0x0015	0x1C06      	BTFSS      PORTB, 0
0x0016	0x2824      	GOTO       L_interrupt17
;MyFinalProject.c,46 :: 		{ x=0;
0x0017	0x01EA      	CLRF       _x
;MyFinalProject.c,47 :: 		count=0;
0x0018	0x01EF      	CLRF       _count
;MyFinalProject.c,48 :: 		INTCON.INTF = 0;
0x0019	0x108B      	BCF        INTCON, 1
;MyFinalProject.c,49 :: 		delay_ms(10);
0x001A	0x301A      	MOVLW      26
0x001B	0x00FC      	MOVWF      R12
0x001C	0x30F8      	MOVLW      248
0x001D	0x00FD      	MOVWF      R13
L_interrupt18:
0x001E	0x0BFD      	DECFSZ     R13, 1
0x001F	0x281E      	GOTO       L_interrupt18
0x0020	0x0BFC      	DECFSZ     R12, 1
0x0021	0x281E      	GOTO       L_interrupt18
0x0022	0x0000      	NOP
;MyFinalProject.c,50 :: 		}
0x0023	0x2861      	GOTO       L_interrupt19
L_interrupt17:
;MyFinalProject.c,51 :: 		else if(INTCON.T0IF==1)
0x0024	0x1D0B      	BTFSS      INTCON, 2
0x0025	0x2861      	GOTO       L_interrupt20
;MyFinalProject.c,52 :: 		{    INTCON.T0IF=0 ;
0x0026	0x110B      	BCF        INTCON, 2
;MyFinalProject.c,53 :: 		PORTA.RA2=1 ;
0x0027	0x1505      	BSF        PORTA, 2
;MyFinalProject.c,54 :: 		nb=nb-1 ;
0x0028	0x1683      	BSF        STATUS, 5
0x0029	0x03BE      	DECF       _nb, 1
;MyFinalProject.c,55 :: 		OPTION_REG=0b11000111 ;
0x002A	0x30C7      	MOVLW      199
0x002B	0x0081      	MOVWF      OPTION_REG
;MyFinalProject.c,56 :: 		TMR0=0 ;
0x002C	0x1283      	BCF        STATUS, 5
0x002D	0x0181      	CLRF       TMR0
;MyFinalProject.c,58 :: 		if(nb==0)
0x002E	0x1683      	BSF        STATUS, 5
0x002F	0x083E      	MOVF       _nb, 0
0x0030	0x3A00      	XORLW      0
0x0031	0x1D03      	BTFSS      STATUS, 2
0x0032	0x2841      	GOTO       L_interrupt21
;MyFinalProject.c,59 :: 		{ PORTA.RA2=0 ;
0x0033	0x1283      	BCF        STATUS, 5
0x0034	0x1105      	BCF        PORTA, 2
;MyFinalProject.c,60 :: 		nb=150;
0x0035	0x3096      	MOVLW      150
0x0036	0x1683      	BSF        STATUS, 5
0x0037	0x00BE      	MOVWF      _nb
;MyFinalProject.c,61 :: 		x=0;
0x0038	0x1283      	BCF        STATUS, 5
0x0039	0x01EA      	CLRF       _x
;MyFinalProject.c,62 :: 		OPTION_REG=0b11101000 ;
0x003A	0x30E8      	MOVLW      232
0x003B	0x1683      	BSF        STATUS, 5
0x003C	0x0081      	MOVWF      OPTION_REG
;MyFinalProject.c,63 :: 		TMR0=253 ;
0x003D	0x30FD      	MOVLW      253
0x003E	0x1283      	BCF        STATUS, 5
0x003F	0x0081      	MOVWF      TMR0
;MyFinalProject.c,64 :: 		}
0x0040	0x2861      	GOTO       L_interrupt22
L_interrupt21:
0x0041	0x1283      	BCF        STATUS, 5
;MyFinalProject.c,65 :: 		else if(PORTB.RB6=!PORTB.RB6)
0x0042	0x3040      	MOVLW      64
0x0043	0x0686      	XORWF      PORTB, 1
0x0044	0x1F06      	BTFSS      PORTB, 6
0x0045	0x2861      	GOTO       L_interrupt23
;MyFinalProject.c,66 :: 		{ TMR0=253 ;
0x0046	0x30FD      	MOVLW      253
0x0047	0x0081      	MOVWF      TMR0
;MyFinalProject.c,67 :: 		OPTION_REG=0b11101000 ;
0x0048	0x30E8      	MOVLW      232
0x0049	0x1683      	BSF        STATUS, 5
0x004A	0x0081      	MOVWF      OPTION_REG
;MyFinalProject.c,68 :: 		x=6;
0x004B	0x3006      	MOVLW      6
0x004C	0x1283      	BCF        STATUS, 5
0x004D	0x00EA      	MOVWF      _x
;MyFinalProject.c,69 :: 		PORTA.RA1=1 ;
0x004E	0x1485      	BSF        PORTA, 1
;MyFinalProject.c,70 :: 		PORTA.RA2=0 ;
0x004F	0x1105      	BCF        PORTA, 2
;MyFinalProject.c,71 :: 		nb=150;
0x0050	0x3096      	MOVLW      150
0x0051	0x1683      	BSF        STATUS, 5
0x0052	0x00BE      	MOVWF      _nb
;MyFinalProject.c,72 :: 		INTCON.RBIF=0;
0x0053	0x100B      	BCF        INTCON, 0
;MyFinalProject.c,73 :: 		delay_ms(100);
0x0054	0x3002      	MOVLW      2
0x0055	0x00FB      	MOVWF      R11
0x0056	0x3004      	MOVLW      4
0x0057	0x00FC      	MOVWF      R12
0x0058	0x30BA      	MOVLW      186
0x0059	0x00FD      	MOVWF      R13
L_interrupt24:
0x005A	0x0BFD      	DECFSZ     R13, 1
0x005B	0x285A      	GOTO       L_interrupt24
0x005C	0x0BFC      	DECFSZ     R12, 1
0x005D	0x285A      	GOTO       L_interrupt24
0x005E	0x0BFB      	DECFSZ     R11, 1
0x005F	0x285A      	GOTO       L_interrupt24
0x0060	0x0000      	NOP
;MyFinalProject.c,74 :: 		}
L_interrupt23:
L_interrupt22:
;MyFinalProject.c,76 :: 		}
L_interrupt20:
L_interrupt19:
;MyFinalProject.c,78 :: 		}
L_end_interrupt:
L__interrupt60:
0x0061	0x1283      	BCF        STATUS, 5
0x0062	0x0824      	MOVF       36, 0
0x0063	0x00F0      	MOVWF      R0
0x0064	0x0823      	MOVF       35, 0
0x0065	0x00FB      	MOVWF      R11
0x0066	0x0822      	MOVF       34, 0
0x0067	0x00FC      	MOVWF      R12
0x0068	0x0821      	MOVF       33, 0
